ID;Proyecto;Informador;Asignada a;Prioridad;Severidad;Reproducibilidad;Categoría;Fecha de envío;Actualizada;Resumen;Estado;Resolución;MES;AÑO;Nº Comentarios;
20377;GNF - SGIPE Montejo;juanpazos;juanpazos;normal;menor;no se ha intentado;Servidor OPC;2021-03-08;2021-03-15;Fallo comunicación Brisa;cerrada;corregida;3;2021;1;
15678;GNF - GesWin La Sia;felix;felix;normal;menor;no se ha intentado;Falsa alarma: Comunicaciones externas;2020-01-02;2020-01-10;Fallo visualización alarmas;cerrada;corregida;1;2020;1;
15730;GNF - GesWin La Sia;ricardoouteiral;ricardoouteiral;normal;menor;no se ha intentado;Falsa alarma: Comunicaciones externas;2020-01-10;2020-01-12;Fallo visualización alarmas;cerrada;corregida;1;2020;1;
15691;GNF - SGIPE Canredondo;juanpazos;juanpazos;normal;menor;no se ha intentado;Regulador reactiva;2020-01-05;2020-01-12;Fallo regulación de reactiva.;cerrada;corregida;1;2020;2;
15741;GNF - ARGOS Vimianzo;felix;felix;normal;menor;no se ha intentado;SCADA;2020-01-14;2020-01-15;Revisar Scada;cerrada;corregida;1;2020;1;
15770;GNF - VESTAS Peña I;ricardoouteiral;roberto;alta;ajuste;no se ha intentado;SCADA;2020-01-20;2020-01-20;Fallo informes Peña I;cerrada;corregida;1;2020;4;
15761;GNF - SGIPE El Pilar;felix;felix;normal;menor;no se ha intentado;Controlador;2020-01-17;2020-01-20;Fallo comunicación turbinas;cerrada;corregida;1;2020;2;
15757;GNF - WinCC SilvaRedonda;felix;felix;normal;menor;no se ha intentado;Servidor OPC;2020-01-16;2020-01-20;Fallo opc;cerrada;corregida;1;2020;1;
15756;GNF - ARGOS Vimianzo;felix;felix;normal;menor;no se ha intentado;SCADA;2020-01-16;2020-01-20;Revisión Scada;cerrada;corregida;1;2020;1;
15886;GNF - SGIPE El Pilar;felix;felix;normal;menor;no se ha intentado;SCADA;2020-01-24;2020-01-25;Fallo comunicación turbinas;cerrada;corregida;1;2020;1;
15877;GNF - GesWin La Sia;felix;felix;normal;menor;no se ha intentado;Regulador activa;2020-01-23;2020-01-25;Fallo potencia activa;cerrada;corregida;1;2020;1;
15872;GNF - VESTAS LomaGorda-SanGil ;ricardoouteiral;ricardoouteiral;normal;menor;no se ha intentado;Servidor OPC;2020-01-23;2020-01-25;Fallo comunicación Brisa;cerrada;corregida;1;2020;1;
15936;GNF - SGIPE Los Llanos;ricardoouteiral;ricardoouteiral;normal;menor;no se ha intentado;SCADA;2020-01-28;2020-01-28;Instalación antivirus;cerrada;corregida;1;2020;1;
15949;GNF - WinCC SilvaRedonda;roberto;roberto;normal;menor;no se ha intentado;SCADA;2020-01-29;2020-01-29;Actualización licencia antivirus;cerrada;corregida;1;2020;1;
15935;GNF - VESTAS LomaGorda-SanGil ;felix;felix;normal;menor;no se ha intentado;General;2020-01-28;2020-01-29;Solicitud de reinicio del scada.;cerrada;corregida;1;2020;1;
15924;GNF - VESTAS LomaGorda-SanGil ;felix;felix;normal;menor;no se ha intentado;Servidor OPC;2020-01-27;2020-01-29;Fallo opc;cerrada;corregida;1;2020;4;
